GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Poseidon,com.nnk.exceptions,UsernameAlreadyInUseException,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.exceptions,EntityNotFoundException,5,4,0,0,2,2,1,1,1,1
Poseidon,com.nnk,Application,5,3,0,0,2,1,1,1,1,1
Poseidon,com.nnk.controllers,RuleNameController,15,104,0,4,4,31,0,9,0,7
Poseidon,com.nnk.controllers,TradeController,28,104,0,4,4,31,0,9,0,7
Poseidon,com.nnk.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
Poseidon,com.nnk.controllers,UserController,15,110,0,4,4,32,0,9,0,7
Poseidon,com.nnk.controllers,RatingController,15,104,0,4,4,31,0,9,0,7
Poseidon,com.nnk.controllers,LoginController,35,0,0,0,9,0,3,0,3,0
Poseidon,com.nnk.controllers,CurveController,15,117,0,4,4,33,0,9,0,7
Poseidon,com.nnk.controllers,BidListController,15,104,0,4,4,31,0,9,0,7
Poseidon,com.nnk.domain,Rating,0,33,0,0,0,11,0,2,0,2
Poseidon,com.nnk.domain,User,0,33,0,0,0,11,0,2,0,2
Poseidon,com.nnk.domain,Trade,0,29,0,0,0,10,0,3,0,3
Poseidon,com.nnk.domain,RuleName,0,47,0,0,0,15,0,2,0,2
Poseidon,com.nnk.domain,BidList,0,29,0,0,0,10,0,3,0,3
Poseidon,com.nnk.domain,CurvePoint,0,26,0,0,0,9,0,2,0,2
Poseidon,com.nnk.config,SpringSecurityConfig,28,122,2,0,6,25,3,8,2,8
Poseidon,com.nnk.config,CustomUserDetailsService,35,4,0,0,9,1,2,1,2,1
Poseidon,com.nnk.config,CustomAuthenticationSuccessHandler,39,7,4,0,10,2,5,2,3,2
Poseidon,com.nnk.services,BidListServiceImpl,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.services,TradeServiceImpl,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.services,UserServiceImpl,0,61,0,4,0,17,0,6,0,4
Poseidon,com.nnk.services,RuleNameServiceImpl,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.services,RatingServiceImpl,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.services,CurvePointServiceImpl,0,4,0,0,0,2,0,1,0,1
Poseidon,com.nnk.services,AbstractCrudService,0,80,0,2,0,20,0,9,0,8
